"","area","min_length_group_cm","catch_n","effort_id","n_nets_year","max_length_group_cm","wmin","wmax","cpue_numbers","cpue_biom","SpecCode"
"1","BT",17.6,2038,"BT",78,20,68.5770844019994,101.665215753275,26.1282051282051,2224.06286997724,"Perch"
"2","BT",20.1,732,"BT",78,22.5,103.239016082248,146.12420312229,9.38461538461539,1170.08895165206,"Perch"
"3","BT",22.6,630,"BT",78,25,148.133741626622,202.141380208435,8.07692307692308,1414.57260741081,"Perch"
"4","BT",25.1,392,"BT",78,27.5,204.642136920484,271.109475625323,5.02564102564103,1195.47841101254,"Perch"
"5","BT",27.6,166,"BT",78,30,274.157399997522,354.432440000276,2.12820512820513,668.884060510478,"Perch"
"6","BT",30.1,112,"BT",78,32.5,358.083909500548,453.524498555124,1.43589743589744,582.69321603997,"Perch"
"7","BT",32.6,66,"BT",78,35,457.836284230901,569.809356953792,0.846153846153846,434.773155885832,"Perch"
"8","BT",35.1,68,"BT",78,37.5,574.838594321938,704.719525566851,0.871794871794872,557.756103541267,"Perch"
"9","BT",37.6,18,"BT",78,40,710.523689668489,859.695737190211,0.230769230769231,181.179164637542,"Perch"
"10","BT",40.1,16,"BT",78,42.5,866.332620966007,1036.18643985407,0.205128205128205,195.130160084111,"Perch"
"11","BT",42.6,7,"BT",78,45,1043.71413521069,1235.64735090333,0.0897435897435897,102.279041043578,"Perch"
"12","BT",45.1,4,"BT",78,47.5,1244.12423199226,1459.541061746,0.0512820512820513,69.3247511214936,"Perch"
"13","FM",17.6,8350,"FM",60,20,68.5770844019994,101.665215753275,139.166666666667,11846.0267191378,"Perch"
"14","FM",20.1,2679,"FM",60,22.5,103.239016082248,146.12420312229,44.65,5567.03386874131,"Perch"
"15","FM",22.6,1786,"FM",60,25,148.133741626622,202.141380208435,29.7666666666667,5213.2613966451,"Perch"
"16","FM",25.1,1212,"FM",60,27.5,204.642136920484,271.109475625323,20.2,4805.09128671266,"Perch"
"17","FM",27.6,402,"FM",60,30,274.157399997522,354.432440000276,6.7,2105.77596399263,"Perch"
"18","FM",30.1,254,"FM",60,32.5,358.083909500548,453.524498555124,4.23333333333333,1717.90446371784,"Perch"
"19","FM",32.6,223,"FM",60,35,457.836284230901,569.809356953792,3.71666666666667,1909.70814986822,"Perch"
"20","FM",35.1,162,"FM",60,37.5,574.838594321938,704.719525566851,2.7,1727.40346184987,"Perch"
"21","FM",37.6,45,"FM",60,40,710.523689668489,859.695737190211,0.75,588.832285072013,"Perch"
"22","FM",40.1,18,"FM",60,42.5,866.332620966007,1036.18643985407,0.3,285.377859123012,"Perch"
"23","FM",42.6,3,"FM",60,45,1043.71413521069,1235.64735090333,0.05,56.9840371528506,"Perch"
"24","FM",45.1,1,"FM",60,47.5,1244.12423199226,1459.541061746,0.0166666666666667,22.5305441144854,"Perch"
